"U:0","U:1","U:2","Points:0","Points:1","Points:2"
1.0001,-0.0014505,-0.00068286,0.32,-1.2956,0.5
1.0001,-0.0014639,-0.00068444,0.32,-1.292,0.5
1.0001,-0.0014773,-0.00068602,0.32,-1.2883,0.5
1.0001,-0.0014907,-0.00068759,0.32,-1.2847,0.5
1.0001,-0.0015042,-0.00068917,0.32,-1.281,0.5
1.0001,-0.0015176,-0.00069074,0.32,-1.2773,0.5
1.0001,-0.001531,-0.00069232,0.32,-1.2737,0.5
1.0001,-0.0015444,-0.00069389,0.32,-1.27,0.5
1.0001,-0.0015578,-0.00069547,0.32,-1.2664,0.5
1.0001,-0.0015712,-0.00069704,0.32,-1.2627,0.5
1.0001,-0.0015846,-0.00069862,0.32,-1.259,0.5
1.0001,-0.0016005,-0.00070039,0.32,-1.2554,0.5
1,-0.0016173,-0.00070223,0.32,-1.2517,0.5
1,-0.0016341,-0.00070406,0.32,-1.2481,0.5
1,-0.0016509,-0.00070589,0.32,-1.2444,0.5
1,-0.0016677,-0.00070773,0.32,-1.2407,0.5
1,-0.0016845,-0.00070956,0.32,-1.2371,0.5
1,-0.0017013,-0.0007114,0.32,-1.2334,0.5
1,-0.0017181,-0.00071323,0.32,-1.2298,0.5
1,-0.0017348,-0.00071507,0.32,-1.2261,0.5
1,-0.0017516,-0.0007169,0.32,-1.2224,0.5
1,-0.0017684,-0.00071874,0.32,-1.2188,0.5
1,-0.0017852,-0.00072057,0.32,-1.2151,0.5
1,-0.001802,-0.00072241,0.32,-1.2115,0.5
1,-0.0018188,-0.00072424,0.32,-1.2078,0.5
1,-0.0018356,-0.00072608,0.32,-1.2041,0.5
0.99999,-0.0018524,-0.00072791,0.32,-1.2005,0.5
0.99999,-0.0018692,-0.00072975,0.32,-1.1968,0.5
0.99999,-0.001886,-0.00073158,0.32,-1.1932,0.5
0.99998,-0.0019027,-0.00073342,0.32,-1.1895,0.5
0.99998,-0.0019195,-0.00073525,0.32,-1.1858,0.5
0.99997,-0.0019363,-0.00073709,0.32,-1.1822,0.5
0.99997,-0.0019531,-0.00073892,0.32,-1.1785,0.5
0.99997,-0.0019699,-0.00074076,0.32,-1.1749,0.5
